,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,23,2.2282498038333394,0.22860054347826086,0.2181831049043429,0.3223000212179079,0.22448546573307873,11.520011711120606,3.1216833114624025,0.2016,0.10166666666666667,0.20477777777777778
1,1,23,1.6750171702841055,0.37064792798913043,0.38962417722414894,0.20012719949120203,0.3968624125503498,1.5578712224960327,2.181630754470825,0.4359,0.09244444444444444,0.43166666666666664
2,2,23,1.5122610486072043,0.439453125,0.46887898299488195,0.1742826780021254,0.46886291179596173,1.568565011024475,2.129175090789795,0.4425,0.08577777777777777,0.4481111111111111
3,3,23,1.4041928985844487,0.48318614130434784,0.5180117483309349,0.17009544008483563,0.5249204665959704,1.4714301586151124,2.1454052925109863,0.4888,0.09666666666666666,0.46644444444444444
4,4,23,1.2843221270519753,0.5338824728260869,0.5752648842532506,0.16289401311614132,0.5722445525703406,1.3722143173217773,1.9846127033233643,0.5304,0.11088888888888888,0.5102222222222222
5,5,23,1.1917970595152483,0.5705672554347826,0.6167701423479144,0.1579169302129454,0.6097406704617331,1.1023618221282958,2.2646670818328856,0.6207,0.05266666666666667,0.6198888888888889
6,6,23,1.0884322653646055,0.6112432065217391,0.6603608916145772,0.1690380123168401,0.6440857931620302,1.0139559984207154,2.3457525253295897,0.6574,0.054,0.6481111111111111
7,7,23,0.9882941064627274,0.6531080163043478,0.6894811320754717,0.3252551020408163,0.5678146258503401,1.0572732448577882,1.5966066122055054,0.65,0.2916666666666667,0.5142222222222222
8,8,23,0.8730671198471732,0.6982209578804348,0.7208418866945093,0.4952360787634978,0.45881854753334744,1.5181635618209839,0.47784793972969053,0.5411,0.8065555555555556,0.1371111111111111
9,9,23,0.7962906205135843,0.7258831521739131,0.7427102010002831,0.5746395250212044,0.409245122985581,0.9365607738494873,0.12464306503534317,0.6955,0.9482222222222222,0.041444444444444443
10,10,23,0.7272623492323834,0.7517620584239131,0.7680020762551907,0.6059322033898306,0.3949152542372881,0.7575129508972168,0.180821692943573,0.7421,0.9351111111111111,0.05255555555555556
11,11,23,0.6738133948782216,0.7709748641304348,0.7897282249693309,0.6024173027989822,0.4083969465648855,0.7121172189712525,0.24016741216182708,0.7583,0.9196666666666666,0.06655555555555556
12,12,23,0.6399261770041093,0.7850076426630435,0.8047606690414966,0.6074231177094379,0.4169671261930011,0.7889340400695801,0.13376031965017318,0.7382,0.9515555555555556,0.03877777777777778
13,13,23,0.5854130776032157,0.8050908627717391,0.8250377429703718,0.6256366723259762,0.400679117147708,0.650788950920105,0.18489431142807006,0.7826,0.9456666666666667,0.04688888888888889
14,14,23,0.5730909756992174,0.8097401494565217,0.8305428477102297,0.6219667943805874,0.4101745423584504,0.7721848607063293,0.1802055597305298,0.7486,0.946,0.04388888888888889
15,15,23,0.5414584304975427,0.8199515964673914,0.8424688214630927,0.6161723917217836,0.4218049925325368,0.7660289287567139,0.30991844534873964,0.7471,0.9105555555555556,0.07255555555555555
