,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
last,99,23,0.04479097348192464,0.9861795176630435,0.99867827893035,0.8743400211193242,0.2238648363252376,0.44506300091743467,0.26133430302143096,0.9037,0.9468888888888889,0.05
valid_max,99,23,2.2282498038333394,0.987410835597826,0.99867827893035,0.887137989778535,0.6440857931620302,11.520011711120606,3.1216833114624025,0.9046,0.9675555555555555,0.6481111111111111
exist_nan_value,False,False,False,False,False,False,False,False,False,False,False,False
